,class,name/encoded,s_name_1,s_name_2,s_name_3,s_name_4,s_name_5,s_name_6,s_name_7,s_name_8,s_name_9,s_name_10
9998,5000,himjal,himjal,hanzala,hansalee,hansal,hansel,hanzalah,haansel,himlal,hingolirah,hublal
9999,Encode,HANJAL,HANJAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANLAL,HANGAL,HABLAL
10000,5001,hemjit,hemjit,hemlata,hemchand,hemkant,himkedar,himtej,himtaj,hinjawadi,hamsadhwani,hamsika
10001,Encode,HANJAT,HANJAT,HANLAT,HANCAD,HANCAD,HANCAD,HANTAJ,HANTAJ,HANJAD,HANSAD,HANSAC
10002,5002,himlal,himjal,hanzala,hansalee,hansal,hansel,hanzalah,haansel,himlal,hingolirah,hublal
10003,Encode,HANLAL,HANJAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANLAL,HANGAL,HABLAL
10004,5003,hemlata,hemlata,hemchand,hemkant,himkedar,hemjit,himtej,himtaj,hinjawadi,hamsika,hansika
10005,Encode,HANLAT,HANLAT,HANCAD,HANCAD,HANCAD,HANJAT,HANTAJ,HANTAJ,HANJAD,HANSAC,HANSAC
10006,5004,hampi,hemprasad,hemprakash,hampi,huma,honesh,himesh,haani,henna,hanosh,hanish
10007,Encode,HANP,HANPRA,HANPRA,HANP,HAN,HAN,HAN,HAN,HAN,HAN,HAN
10008,5005,hemprasad,hemprasad,hemprakash,hampi,huma,honesh,himesh,haani,henna,hanosh,hanish
10009,Encode,HANPRA,HANPRA,HANPRA,HANP,HAN,HAN,HAN,HAN,HAN,HAN,HAN
10010,5006,hemraj,hufriya,hemraj,hemrajsingh,hitrusha,hajrat,heigrujam,nafrat,devraj,jeevraj,namratha
10011,Encode,HANRAJ,HAFRAY,HANRAJ,HANRAJ,HATRAS,HAJRAT,HAGRAJ,NAFRAT,DAFRAJ,JAFRAJ,NANRAT
10012,5007,henry,henny,hanee,hanny,hamee,hunny,honey,henry,hemprasad,hemprakash,hemkrushna
10013,Encode,HANRY,HANY,HANY,HANY,HANY,HANY,HANY,HANRY,HANPRA,HANPRA,HANCRA
10014,5008,hansha,hansha,hamza,hansa,hamsa,humza,hansmukhlal,hansmukh,himsnshu,hansraj,henny
10015,Encode,HANS,HANS,HANS,HANS,HANS,HANS,HANSNA,HANSNA,HANSNS,HANSRA,HANY
10016,5009,hamsika,hemlata,hemchand,hemkant,himkedar,hemjit,hamsika,hansika,hemchandra,hemkumar,himtej
10017,Encode,HANSAC,HANLAT,HANCAD,HANCAD,HANCAD,HANJAT,HANSAC,HANSAC,HANCAN,HANCAN,HANTAJ
10018,5010,hamsadhwani,hemlata,hemchand,hemkant,himkedar,hemjit,himtej,himtaj,hamsika,hansika,hamsadhwani
10019,Encode,HANSAD,HANLAT,HANCAD,HANCAD,HANCAD,HANJAT,HANTAJ,HANTAJ,HANSAC,HANSAC,HANSAD
10020,5011,hansoge,hemlata,hemchand,hemkant,himkedar,hemjit,himtej,himtaj,hamsika,hansika,hinjawadi
10021,Encode,HANSAG,HANLAT,HANCAD,HANCAD,HANCAD,HANJAT,HANTAJ,HANTAJ,HANSAC,HANSAC,HANJAD
10022,5012,hanzala,himjal,hanzala,hansalee,hansal,hansel,hanzalah,haansel,himlal,hingolirah,hublal
10023,Encode,HANSAL,HANJAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANSAL,HANLAL,HANGAL,HABLAL
10024,5013,hanson,hemlata,hemchand,hemkant,himkedar,hemjit,hamsika,hansika,himtej,himtaj,hemchandra
10025,Encode,HANSAN,HANLAT,HANCAD,HANCAD,HANCAD,HANJAT,HANSAC,HANSAC,HANTAJ,HANTAJ,HANCAN
10026,5014,hansaraj,hemkiran,hambirrao,hingora,himgauri,hanspraksh,homyar,hansaraj,hemvardhan,hifzur,hafsarpasha
10027,Encode,HANSAR,HANCAR,HANBAR,HANGAR,HANGAR,HANSPR,HANYAR,HANSAR,HANVAR,HAFSAR,HAFSAR
10028,5015,hansmukhlal,hansmukhlal,hansmukh,hansha,hamza,hansa,hamsa,humza,himsnshu,hansraj,hemprasad
10029,Encode,HANSNA,HANSNA,HANSNA,HANS,HANS,HANS,HANS,HANS,HANSNS,HANSRA,HANPRA
10030,5016,himsnshu,hansmukhlal,hansmukh,himsnshu,hansha,hamza,hansa,hamsa,humza,hansraj,hemprasad
10031,Encode,HANSNS,HANSNA,HANSNA,HANSNS,HANS,HANS,HANS,HANS,HANS,HANSRA,HANPRA
10032,5017,hanspraksh,hemkiran,hambirrao,hanspraksh,hingora,himgauri,homyar,hansaraj,hemvardhan,hifzur,hafsarpasha
10033,Encode,HANSPR,HANCAR,HANBAR,HANSPR,HANGAR,HANGAR,HANYAR,HANSAR,HANVAR,HAFSAR,HAFSAR
10034,5018,hansraj,hansha,hamza,hansa,hamsa,humza,hansmukhlal,hansmukh,himsnshu,hemprasad,hemprakash
10035,Encode,HANSRA,HANS,HANS,HANS,HANS,HANS,HANSNA,HANSNA,HANSNS,HANPRA,HANPRA
10036,5019,himtej,hemlata,hemjit,himtej,himtaj,hemchand,hemkant,himkedar,hinjawadi,hamsika,hansika
10037,Encode,HANTAJ,HANLAT,HANJAT,HANTAJ,HANTAJ,HANCAD,HANCAD,HANCAD,HANJAD,HANSAC,HANSAC
